Pais_Name,Anos,Gini_index,Population_total,Crecimiento_de_la_poblacion,Crecimiento_del_PIB,Crecimiento_del_PIB_per_capita,PIBper_capita,Densidad_de_poblacion,indice_de_desarrollo_humano,Poverty_gap_at_190_a_day,Indice_de_precios_al_consumidor,Salario_minimo,Precio_del_dolar,Precio_canasta_basica_rural,precio_canasta_basica_urbana
Mexico,1990,54.3,83943132,1.893125473,5.175768386,3.203387849,3112.27,43.1817341,0.65,2.2,26.54,11.9,2.94,110.22,147.38
Mexico,1991,54.3,85512623,1.85244329,4.214754839,2.302006591,3661.95,43.9891062,0.65,2.7,22.84,13.33,3.07,113.18,159.69
Mexico,1992,54.1,87075138,1.810739862,3.541102416,1.683114828,4170.62,44.79288973,0.65,3.3,15.75,13.9,3.11,115.02,173.22
Mexico,1993,53.7,88625440,1.764754849,1.941155848,0.157925459,5650.03,45.5903907,0.66,3.5,9.78,14.27,3.1,126.52,187.69
Mexico,1994,54.1,90156400,1.712699034,4.941080676,3.159059689,5854.42,46.37794182,0.67,3.7,6.97,15.27,5.32,129.22,192.92
Mexico,1995,54.3,91663285,1.657597749,-6.291230821,-7.831742255,3928.22,47.15310836,0.66,6,34.77,16.63,7.64,135.76,203.09
Mexico,1996,54.5,93147044,1.605744537,6.773258694,5.072444833,4412.12,47.91637851,0.67,9,35.25,24.52,7.85,205.8,299.26
Mexico,1997,54.8,94611002,1.559440673,6.846852279,5.19356354,5289.17,48.66946269,0.68,7,20.81,26.45,8.08,267.35,382.52
Mexico,1998,54.2,96056321,1.516092702,5.163925168,3.581567884,5481.18,49.41295867,0.69,6.1,15.87,32.32,9.86,298.59,431.42
Mexico,1999,53.4,97484832,1.476210015,2.753554247,1.247837106,6157.19,50.14780833,0.69,4.5,16.67,36,9.51,371.69,521.74
Mexico,2000,53.2,98899845,1.441087472,4.942453715,3.440985879,7157.81,50.8757144,0.7,2.9,9.5,37.9,9.57,381.04,548.38
Mexico,2001,52.6,100298153,1.403960865,-0.404390127,-1.792903613,7544.57,51.59502714,0.7,2.6,6.4,40.35,9.14,408.69,585.65
Mexico,2002,51.6,101684758,1.373013961,-0.039844481,-1.402932265,7593.14,52.30831966,0.71,2.1,5.03,42.15,10.31,428.39,614.93
